# --
"1 banner for line","1 banner por linha"
"2 banners for line","2 banners por linha"
"3 banners for line","3 banners por linha"
"4 banners for line","4 banners por linha"

# -- A
"All products","Todos os produtos"
"A total of %1 record(s) have been deleted.","%1 registros(s) removidos com sucesso."
"Allow image type: jpg, jpeg, gif, png","Formatos de imagem permitidos: jpg, jpeg, gif, png"
"Add Item","Adicionar Item"
"Add Slider","Adicionar Slider"

# -- B

# -- C
"Carousel on the left","Carrossel à esquerda"
"Carousel on the right","Carrossel à direita"
"Choose image...","Selecionar imagem..."

# -- D
"Delete successfully!","Removido com sucesso!"
"dholi | Best Sellers","dholi | Mais Vendidos"
"dholi | New Products","dholi | Novos produtos"
"dholi | Banner","dholi | Banner"
"dholi | Carousel","dholi | Carrossel"
"dholi | Carousel + Text Block","dholi | Carrossel + Bloco de texto"
"dholi | On Sale Products","dholi | Produtos em promoção"
"dholi | Products By Category","dholi | Produtos por Categoria"

# -- E

# -- F
"Fixed","Fixo"
"Full Width","Auto Responsive"
"Full Screen","Tela cheia"

# -- I
"Item of Slider","Slider Itens"
"In grid mode.","No modo grid."

# -- K

# -- L
"Opens the linked document in the same frame as it was clicked","Nova página vinculada no mesmo quadro em que foi clicado"
"Opens the linked document in the parent frame","Nova página vinculada a página pai"
"Opens the linked document in a new window or tab","Nova página vinculada em uma nova janela ou guia"

# -- N
"New products","Novos produtos"
"Number of Products to Display","Total de produtos"
"Number of Products per Page","Total de produtos por página"

# -- O
"On Sale","Em promoção"

# -- P

# -- R
"Responsitive","Personalizado"

# -- S
"Select a slider","Selecione o slider"
"Slider item Information","Item slider"
"Slider Information","Slider"
"Slider width","Largura do slider"
"Slider height","Altura do slider"
"Sort Order","Ordem"

# -- T
"The slider has been saved.","Slider salvo com sucesso."
"The slider item has been saved.","Slider item salvo com sucesso."
"This slider no longer exists.","Slider não encontrado."

# -- U
"Use the same height as the slider images.","Use a mesma altura das imagens do slider."
"Use the same width as the slider images.","Use a mesma largura das imagens do slider."

# -- V
"Viewed Products Carousel Template","Template, em Carrossel, dos produtos visualizados"
"Viewed Products Masonry Template","Template, no Formato Masonry, dos produtos visualizados"

# -- W

# -- Y
"You have to save item and close this window!","Você precisa salvar o item e fechar esta janela!"
